review,rating
"тихий звонок и музыка - может после купания (прыгнул за ребенком в озеро с тел)<br />
раза 4 вис... пришлось отключать батарею... может вирусы пытались взять тел под управление а он не дался<br />
не могу очистить оперативную память, благо сам себя чистит и сообщает очистил мол 4.74 оперативной памяти",5.0
"
Один из лучших телефонов на настоящее время! Очень быстрый и стильный! Хорошая камера! А главное ,батарея очень долгая и конечно цена!												",5.0
"Ужасная камера, отвратительная просто. Звук громкости, тихий очень. Подсветки на клавишах нет. Индикатора пропущенных вызовов нет. Не стоит таких денег, как на витрине. Хуже китайцев. А, но да за марку самсунг денег же содрать нужно. Фуфло полное. Кто думает его покупать. Сначала хорошенько все посмотрите и подумайте. Удачи!!!",2.0
"Тормозит страшно. Самостоятельно обновляется при включении Wi-Fi, несмотря на то что функция отключена как таковая. Стекло, которое поставляется вместе с телефоном слабо реагирует на нажатие, чувствительность низкая. После обновления (самостоятельного) с Андроид 6 до 7, вообще практически перестал реагировать на нажатие, а если и среагирует (о чудо), то тут же как бы сам нажимается опять и все надо начинать сначала. Сервис центр нарушений почему то не выявил. Короче валяется в  шкафу, в коробке. Бесполезно потраченные деньги.",1.0
"
Телефон прелесть! Качество отменное: ни одного сбоя, сеть всегда есть, а самое интересное то, что на сегодняшний день (февраль 2018г) аккумулятор (фирменный, LG) чувствует себя вполне здоровым, и это на 13-м году его жизни! 
Молодцы корейцы!												",5.0
"
Очень хороший телефон, пользуюсь третий месяц.												",5.0
"Айфон спорный аппарат. Начну с недостатков. Аккумулятор в нем ерунда. Не то как он его держит- а 1400- сам объем. Ну, понятно что аппарат 2011 года (что по нему не скажешь). При 10% заряда и ниже- просто отключается. Андроиды могут работать на 1 % заряда почти сутки- без использования.И до часа (+-)-в- использовании.Связь. Не знаю как у кого. Было проверено- Билайн- Кселл- ловит плохо. Это беда многих айфонов- слышала- читала. Тяжеловат по мне. 140 гр ощущается как все 160..Айклауд. Это полезная вещь -безусловно. Для внутренней платформы.Пользования услугами. Сервисом. И от кражи... НО- я точно знаю хозяев, которые продают свои заблокированные кирпичи- не важно- помнят они пароль или нет. Именно поэтому я -боюсь его создавать.Греется. При звонках, или когда ищет сеть- оператора.<br />
А теперь о плюсах. Производительный. Это безусловно лучший гаджет в работе. Плавный. Оптимизированный. Телефон 2011 года не ощущается старым. Все в нем работает на ура.Retina- лучший экран, который я видела. Для глаз.Удобный- в работе. хотя экран я бы хотела больше по размеру. Только нужные приложения. Нет в нем лишнего- хлама. От которого глаза разбегаются как во многих- андроидах. Красавец! Чем дольше я им пользуюсь, тем больше понимаю что ""подсела"" на него. И мне трудно будет найти ему замену, хотя он- капризный аппарат. В связи. В настройках.<br />
 В общем... я аппарат конечно, рекомендую. НО- его нужно настроить. За ним нужно ухаживать. Мне изначально попался аппарат уже- видавший виды. И снаружи- и внутри. любая техника любит- ухода. Ну и- если вы хотите иметь айфон- вам придется смириться с его- ""капризами""- то он ловит сеть то не- ловит, например. Греется- об этом сказала выше.<br />
В общем- есть в нем и минусы и плюсы, как в любом продукте. Но красавец, зараза! Трудно потом от него отказаться.",5.0
"
Пробыл 4 года,батарея стала держать максимум три часа постоянного использования и что-то с камерой случилось(а ведь она одно из лучшего что есть в телефоне)...По хорошей цене не нашла подобного качества камеры...Буду брать опять...												",4.0
"
За эти деньги лучше не найти!!!!!!Купил спонтанно так*как  Грессо за 90000 т Сломался в очередной раз.												",5.0
"
дрянь а не смартфон батарея быстро садится  нужно два раза нажимать на ответ не прошло и двух лет как индикаторы самого смартфона и батареи сменили цвет на красный хотя в воде он не был села громкость звонившего  вообщем не советую												",1.0
